Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
MelbournePedestrian,Resample_12,0.8368183681836818,0.8362809934031029,0.9735673258688953,0.6419787449078143
MelbournePedestrian,Resample_13,0.8236982369823698,0.8232981950586549,0.9695019465503938,0.6531677494734942
MelbournePedestrian,Resample_14,0.8208282082820828,0.8202029575903207,0.9702672698355946,0.6514191236439942
MelbournePedestrian,Resample_15,0.8368183681836818,0.8358998747612502,0.9708875995014529,0.6494944242472863
MelbournePedestrian,Resample_16,0.8241082410824109,0.8225806157745842,0.9722362580612492,0.6261136559707309
MelbournePedestrian,Resample_17,0.8208282082820828,0.8229243094290254,0.9678114253270858,0.6664168737510792
MelbournePedestrian,Resample_18,0.8310783107831078,0.8307715777637592,0.9706267704994835,0.6331177847185157
MelbournePedestrian,Resample_19,0.8310783107831078,0.8317713594323715,0.9707576013926825,0.6560109445160632
MelbournePedestrian,Resample_20,0.8310783107831078,0.8293394521720423,0.9735263118351047,0.6190805161158296
MelbournePedestrian,Resample_21,0.8339483394833949,0.8333858808231588,0.972080445419287,0.6293324810554931
MelbournePedestrian,Resample_22,0.8343583435834359,0.8327618445696487,0.9713259611223436,0.6503984213211355
MelbournePedestrian,Resample_23,0.8323083230832309,0.8313131955740987,0.9731276105121951,0.6140231138552713
MelbournePedestrian,Resample_24,0.8376383763837638,0.8364089115354216,0.9755472480126199,0.6202501339418739
MelbournePedestrian,Resample_25,0.8417384173841739,0.8420111793066194,0.9755792692509646,0.6157039919433279
MelbournePedestrian,Resample_26,0.8290282902829028,0.8264143390312961,0.9735497194384042,0.6464380146279135
MelbournePedestrian,Resample_27,0.8355883558835588,0.8353377852505238,0.9710420193116271,0.6341610375338717
MelbournePedestrian,Resample_28,0.8265682656826568,0.8258780606035879,0.9707364411170807,0.6492852032158416
MelbournePedestrian,Resample_29,0.8359983599835998,0.8343814220565943,0.972806190963039,0.630279335436619
SmoothSubspace,Resample_0,0.8266666666666667,0.8266666666666667,0.9606,0.411094091206917
SmoothSubspace,Resample_1,0.78,0.7768653706541905,0.9379243997274221,0.4788545685801077
