Dataset,Resample,accuracy,balanced_accuracy,auroc,log_loss
GesturePebbleZ1,Resample_14,0.9302325581395349,0.9303681981101336,0.9572343861775537,2.514673492263988
GesturePebbleZ1,Resample_15,0.8895348837209303,0.8976991656198928,0.9341679920874553,3.9815663627513134
GesturePebbleZ1,Resample_16,0.8895348837209303,0.8948095769916714,0.9347918801864649,3.981566362751314
GesturePebbleZ1,Resample_17,0.9011627906976745,0.9124531024531025,0.9420105407581043,3.5624541140406487
GesturePebbleZ1,Resample_18,0.8895348837209303,0.8908563828107733,0.9346270237364539,3.9815663627513134
GesturePebbleZ1,Resample_19,0.9302325581395349,0.9338023088023087,0.9590493168379204,2.514673492263987
GesturePebbleZ1,Resample_20,0.9011627906976745,0.902703259384294,0.9417152001505751,3.5624541140406496
GesturePebbleZ1,Resample_21,0.9011627906976745,0.9040717520027867,0.9413225391698973,3.5624541140406487
GesturePebbleZ1,Resample_22,0.8488372093023255,0.8573177035820714,0.9102783878645947,5.44845923323864
GesturePebbleZ1,Resample_23,0.8837209302325582,0.8860780423280423,0.9306650246305419,4.191122487106646
GesturePebbleZ1,Resample_24,0.9011627906976745,0.9044821844821844,0.941395792199495,3.5624541140406487
GesturePebbleZ1,Resample_25,0.8953488372093024,0.8947339293316304,0.9364594694745085,3.772010238395981
GesturePebbleZ1,Resample_26,0.9302325581395349,0.9310019841269841,0.9585091253225055,2.5146734922639875
GesturePebbleZ1,Resample_27,0.9011627906976745,0.9013628467151705,0.9411577716654635,3.5624541140406487
GesturePebbleZ1,Resample_28,0.9186046511627907,0.9231084593987818,0.9514539007092199,2.9337857409746517
GesturePebbleZ1,Resample_29,0.872093023255814,0.8728032751562163,0.924220911242209,4.6102347358173095
GunPointAgeSpan,Resample_0,0.9841772151898734,0.984375,0.984375,0.5703109713467907
GunPointAgeSpan,Resample_1,0.990506329113924,0.9903225806451612,0.9903225806451612,0.34218658280807446
GunPointAgeSpan,Resample_2,0.990506329113924,0.9904458598726115,0.9904458598726115,0.34218658280807446
GunPointAgeSpan,Resample_3,0.9936708860759493,0.9933774834437086,0.9933774834437086,0.2281243885387164
GunPointAgeSpan,Resample_4,0.990506329113924,0.9903225806451612,0.9903225806451612,0.3421865828080744
GunPointAgeSpan,Resample_5,0.9873417721518988,0.9873372069725506,0.9873372069725506,0.4562487770774325
GunPointAgeSpan,Resample_6,0.9968354430379747,0.9966442953020134,0.9966442953020135,0.1140621942693583
GunPointAgeSpan,Resample_7,0.9810126582278481,0.9809936244436425,0.9809936244436426,0.6843731656161487
GunPointAgeSpan,Resample_8,0.9810126582278481,0.9813211479878147,0.9813211479878146,0.6843731656161487
GunPointAgeSpan,Resample_9,0.9936708860759493,0.99375,0.99375,0.22812438853871633
GunPointAgeSpan,Resample_10,0.9873417721518988,0.9879518072289157,0.9879518072289157,0.4562487770774325
GunPointAgeSpan,Resample_11,0.9936708860759493,0.993421052631579,0.9934210526315789,0.2281243885387164
GunPointAgeSpan,Resample_12,0.9936708860759493,0.9936584386915512,0.9936584386915512,0.22812438853871633
GunPointAgeSpan,Resample_13,0.9968354430379747,0.9969325153374233,0.9969325153374233,0.11406219426935828
GunPointAgeSpan,Resample_14,0.9873417721518988,0.9878048780487805,0.9878048780487805,0.4562487770774325
GunPointAgeSpan,Resample_15,0.990506329113924,0.990625,0.990625,0.34218658280807446
GunPointAgeSpan,Resample_16,0.9841772151898734,0.9843518332999399,0.9843518332999399,0.5703109713467905
GunPointAgeSpan,Resample_17,0.9810126582278481,0.9818181818181818,0.9818181818181818,0.6843731656161487
GunPointAgeSpan,Resample_18,0.9810126582278481,0.979834644081468,0.979834644081468,0.6843731656161488
GunPointAgeSpan,Resample_19,0.9841772151898734,0.9841114005209377,0.9841114005209376,0.5703109713467905
GunPointAgeSpan,Resample_20,0.9778481012658228,0.9787878787878788,0.9787878787878788,0.7984353598855068
GunPointAgeSpan,Resample_21,0.9873417721518988,0.9869281045751634,0.9869281045751633,0.4562487770774325
GunPointAgeSpan,Resample_22,0.9936708860759493,0.9939759036144578,0.9939759036144578,0.2281243885387164
GunPointAgeSpan,Resample_23,0.990506329113924,0.9905448717948718,0.9905448717948718,0.3421865828080744
GunPointAgeSpan,Resample_24,0.9873417721518988,0.9873417721518987,0.9873417721518988,0.4562487770774325
GunPointAgeSpan,Resample_25,0.990506329113924,0.9910179640718563,0.9910179640718563,0.3421865828080744
GunPointAgeSpan,Resample_26,0.9778481012658228,0.9772727272727273,0.9772727272727273,0.7984353598855067
GunPointAgeSpan,Resample_27,0.9873417721518988,0.9879518072289157,0.9879518072289157,0.4562487770774325
GunPointAgeSpan,Resample_28,0.9778481012658228,0.9782347282347282,0.9782347282347282,0.7984353598855068
GunPointAgeSpan,Resample_29,0.9873417721518988,0.9873012057845612,0.9873012057845612,0.4562487770774325
MelbournePedestrian,Resample_0,0.8802788027880278,0.8802023373451945,0.9335037630974601,4.315189335638462
MelbournePedestrian,Resample_1,0.8745387453874539,0.8756184445264699,0.9304633934330949,4.522081975018389
MelbournePedestrian,Resample_2,0.8794587945879458,0.8790556634655339,0.9330977477170612,4.344745426978451
MelbournePedestrian,Resample_3,0.8724887248872488,0.8713508533345132,0.9292264012687772,4.595972203368361
MelbournePedestrian,Resample_4,0.8765887658876589,0.8772603662351302,0.9314987396140647,4.448191746668415
MelbournePedestrian,Resample_5,0.8642886428864288,0.8648987121779644,0.9245749771231592,4.891533116768256
MelbournePedestrian,Resample_6,0.8769987699876999,0.8792660296678777,0.9317570135483357,4.43341370099842
MelbournePedestrian,Resample_7,0.8794587945879458,0.8815435315519414,0.933042144244969,4.344745426978451
MelbournePedestrian,Resample_8,0.8806888068880688,0.88132038750694,0.9337948344011823,4.300411289968467
MelbournePedestrian,Resample_9,0.8798687986879868,0.879058405905424,0.9332953327375948,4.329967381308457
MelbournePedestrian,Resample_10,0.8798687986879868,0.8805842388611245,0.9333985474226475,4.329967381308457
MelbournePedestrian,Resample_11,0.8851988519885199,0.8855295916306594,0.9362770095739245,4.137852787598525
MelbournePedestrian,Resample_12,0.8774087740877409,0.8772165888209795,0.9319368848188943,4.418635655328425
MelbournePedestrian,Resample_13,0.8872488724887249,0.8865696474996998,0.9373522011683092,4.0639625592485515
MelbournePedestrian,Resample_14,0.8831488314883149,0.8828238423719237,0.9350152075691581,4.211743015948498
MelbournePedestrian,Resample_15,0.8892988929889298,0.8883268130421914,0.938538133969615,3.990072330898578
MelbournePedestrian,Resample_16,0.8782287822878229,0.8792683815884924,0.9324952815988073,4.389079563988436
MelbournePedestrian,Resample_17,0.8839688396883969,0.8857636050877049,0.9354953233791171,4.182186924608509
MelbournePedestrian,Resample_18,0.8831488314883149,0.8835481308447612,0.9350433268532473,4.211743015948499
MelbournePedestrian,Resample_19,0.8728987289872898,0.8745468954694445,0.9295139902971093,4.581194157698367
MelbournePedestrian,Resample_20,0.8913489134891349,0.8900167859714749,0.9396556676610445,3.9161821025486043
MelbournePedestrian,Resample_21,0.8724887248872488,0.8724490814642637,0.9291198931110578,4.595972203368361
MelbournePedestrian,Resample_22,0.8806888068880688,0.8792000710623189,0.9337479416013592,4.300411289968467
MelbournePedestrian,Resample_23,0.8884788847888478,0.8883480938402075,0.9381641015767559,4.019628422238568
MelbournePedestrian,Resample_24,0.8860188601886019,0.8851914390626943,0.9366858256489251,4.108296696258535
MelbournePedestrian,Resample_25,0.8843788437884379,0.8839770481227021,0.9357283467182648,4.167408878938514
MelbournePedestrian,Resample_26,0.8675686756867569,0.8664323071147791,0.9264131387502019,4.773308751408299
MelbournePedestrian,Resample_27,0.8888888888888888,0.8885481260451347,0.9382737508033345,4.004850376568573
MelbournePedestrian,Resample_28,0.8757687576875769,0.8754114967088794,0.9309748554817974,4.477747838008404
MelbournePedestrian,Resample_29,0.8737187371873719,0.8737570579114683,0.9299382862991132,4.551638066358378
SmoothSubspace,Resample_0,1.0,1.0,1.0,2.220446049250313e-16
SmoothSubspace,Resample_1,0.9733333333333334,0.9723454599230997,0.9806264280274182,0.9611640903764577
SmoothSubspace,Resample_2,0.98,0.9795294052741917,0.9857544517338332,0.7208730677823433
SmoothSubspace,Resample_3,0.96,0.9614127702362997,0.9702338422865469,1.4417461355646863
SmoothSubspace,Resample_4,0.9866666666666667,0.9865306122448979,0.98989898989899,0.4805820451882289
SmoothSubspace,Resample_5,0.96,0.9593369363555698,0.9693319838056681,1.4417461355646863
SmoothSubspace,Resample_6,0.9733333333333334,0.9733860342555994,0.980028159698561,0.9611640903764577
SmoothSubspace,Resample_7,0.9666666666666667,0.9669117647058822,0.9751931075460487,1.2014551129705722
SmoothSubspace,Resample_8,0.96,0.9611992945326279,0.9710648148148149,1.4417461355646863
SmoothSubspace,Resample_9,0.96,0.9577799558931636,0.9699051466007516,1.4417461355646863
SmoothSubspace,Resample_10,0.96,0.95992319459153,0.9704815141708347,1.4417461355646861
SmoothSubspace,Resample_11,0.98,0.979217938200711,0.9848830293417922,0.7208730677823433
SmoothSubspace,Resample_12,1.0,1.0,1.0,2.220446049250313e-16
SmoothSubspace,Resample_13,0.98,0.9798411465078133,0.9849726447182646,0.7208730677823433
SmoothSubspace,Resample_14,0.9733333333333334,0.9733924195874685,0.9798325242912872,0.9611640903764577
SmoothSubspace,Resample_15,0.9666666666666667,0.9688903863432166,0.9756002342377511,1.2014551129705722
SmoothSubspace,Resample_16,0.9666666666666667,0.966820377689943,0.9761429608127723,1.2014551129705722
SmoothSubspace,Resample_17,0.98,0.9807692307692308,0.9846938775510204,0.7208730677823433
SmoothSubspace,Resample_18,0.98,0.9821428571428571,0.986111111111111,0.7208730677823433
SmoothSubspace,Resample_19,0.9666666666666667,0.9673497509476855,0.975475912975913,1.2014551129705722
SmoothSubspace,Resample_20,0.9666666666666667,0.966392682312192,0.9752676447264076,1.2014551129705722
SmoothSubspace,Resample_21,0.9533333333333334,0.9531658817373104,0.9648918973530006,1.6820371581588005
SmoothSubspace,Resample_22,0.98,0.9809299895506792,0.9852941176470588,0.7208730677823433
SmoothSubspace,Resample_23,0.9733333333333334,0.9753086419753086,0.9803921568627452,0.9611640903764577
SmoothSubspace,Resample_24,0.9733333333333334,0.9736625183995717,0.9798363527174456,0.9611640903764577
SmoothSubspace,Resample_25,0.9666666666666667,0.9664777021919879,0.9748873975543452,1.201455112970572
SmoothSubspace,Resample_26,0.9866666666666667,0.9870598482020654,0.9897692869819397,0.4805820451882289
SmoothSubspace,Resample_27,0.9866666666666667,0.987450152474783,0.9898923201950426,0.4805820451882289
SmoothSubspace,Resample_28,0.96,0.9624970882832518,0.9704100025692904,1.4417461355646861
SmoothSubspace,Resample_29,0.9933333333333333,0.9929078014184397,0.9948453608247422,0.24029102259411456
